first_name,last_name,job_title,department,email,address,phone_number,salary,password
70,82,50,84,69,69,29,0.9514708186236613,34
32,21,14,42,62,35,79,-0.14530871499823614,55
21,68,22,66,78,42,59,1.1722913326178919,36
71,29,31,77,67,60,46,-0.485520224597003,44
24,26,77,32,47,51,33,-1.4612692768645308,49
2,10,4,80,66,52,85,-0.558386257922933,37
29,61,7,50,71,6,70,0.6358880282890588,66
44,76,34,27,14,21,95,1.0917743657927395,13
37,78,67,73,36,49,84,-1.4612692768645308,72
50,86,19,1,33,80,65,-1.103278455134237,81
69,62,76,63,51,14,54,1.3360941755345825,32
31,34,9,69,68,59,94,1.0617535600624564,56
67,80,44,65,63,2,6,-1.2275879079882734,91
41,31,80,54,53,71,98,0.8118594987711796,46
54,84,42,30,28,32,45,-0.9247202404690457,92
89,48,83,55,90,53,62,1.0691494624450382,43
67,22,73,90,88,46,43,-1.6386252019798442,59
52,53,40,62,7,91,87,-0.4572117706498792,50
6,3,26,3,65,40,66,0.23355822527993658,68
42,88,75,46,25,62,83,1.7238143388618556,9
23,44,45,81,55,41,40,-0.38471006749057896,14
85,8,47,26,42,0,81,0.4356886017260662,67
59,39,5,87,85,5,36,0.9844791317203075,42
7,25,81,22,0,23,26,-0.3886084002735162,18
27,55,13,20,70,82,11,1.907655340943177,96
60,71,57,79,73,78,89,-0.7613545937523107,53
4,9,23,83,22,33,92,0.40738014777894244,23
19,72,41,6,94,44,71,-0.8066044004477133,33
47,6,1,24,91,68,58,-1.249957780219334,87
17,75,82,49,75,89,10,-0.6178085081002288,51
91,2,43,21,93,72,19,0.5393041011155386,29
77,57,61,58,30,1,69,1.8111807128196455,94
1,61,84,12,79,27,86,-0.5261430381762089,8
36,41,12,72,26,36,16,1.717365694912511,70
75,51,17,70,19,96,37,0.6193838717407356,98
16,32,82,57,46,77,74,0.5446961875816574,4
6,19,58,45,41,86,0,-1.0850619468027545,65
45,30,70,66,74,38,78,0.081268215628743,35
38,35,85,18,20,67,28,-0.345143811394599,16
5,37,0,43,50,66,12,-1.0904904662855364,60
81,40,53,88,40,39,38,-0.3154509028142825,17
73,20,69,34,44,92,31,-0.5665836866721,61
53,18,66,11,10,17,4,0.06257807808064199,20
58,11,5,41,99,8,97,1.3128863439202738,40
80,28,54,11,31,63,52,1.5640191277780913,48
79,71,24,0,27,7,2,-0.7633219766521109,83
46,63,85,8,18,84,55,1.824515196918291,47
78,7,15,10,54,18,67,-0.7789881738171858,24
72,2,63,31,49,22,1,0.8517900850337892,97
33,33,55,86,48,26,76,0.09332754414418441,11
49,15,64,25,16,45,90,0.05183033816506732,73
10,43,35,82,38,88,42,0.49212334453699896,10
68,67,62,19,61,10,32,-0.6168612496669917,78
55,42,3,78,29,11,39,-0.4787072504810286,25
90,3,65,11,77,54,9,-1.3734292736901224,12
11,23,16,29,21,16,88,-0.6906381084094958,86
68,50,27,28,92,87,75,1.4670344374212785,76
40,81,48,54,57,48,48,-1.1785490675599226,84
3,74,8,47,6,81,18,-1.3281066009613938,95
84,27,2,53,83,93,15,-1.2241632044219548,58
34,16,53,51,97,12,27,0.38584823493113013,39
38,12,28,36,32,47,23,-1.281108009466169,28
66,66,78,48,87,35,22,0.2266723851306362,41
8,4,83,77,86,61,96,0.3838444190146671,82
0,13,6,38,9,64,5,-0.7249580101060088,45
39,85,60,44,8,34,72,-1.0188267225094843,99
57,65,79,23,59,79,68,1.032789311815399,22
61,58,37,86,82,31,91,-1.3365954938438647,7
35,14,20,75,89,55,8,0.04020820584958149,26
55,0,18,17,1,56,82,-1.530710606624142,0
83,68,47,4,64,73,13,-1.5204729289418488,6
13,50,71,15,60,13,44,0.2648906196100865,64
63,83,36,26,76,76,64,0.4496424471079818,85
9,73,56,64,34,37,24,-0.8769565556238986,74
82,52,59,40,12,4,73,-0.9319704107849758,79
62,59,68,35,96,70,53,1.3098259705205848,93
82,36,74,71,2,29,25,0.59719616459299,38
86,70,46,52,84,95,63,0.507643809635422,62
22,1,6,61,24,58,30,-0.7733046232177633,88
25,61,24,74,56,15,14,1.2826833731066758,71
48,87,38,2,4,30,49,-0.4146944402041991,52
30,79,48,59,3,65,61,-1.3810073411560189,1
51,45,56,68,95,90,3,0.00454028253653879,57
12,88,29,39,45,28,51,1.387683327129341,31
26,46,10,67,23,3,21,1.4428793473737327,89
74,77,50,56,58,9,60,-1.513186325609256,2
20,38,49,5,37,19,34,-0.5215524780766754,77
91,60,30,37,52,94,50,-0.3813946629742491,15
65,47,51,7,98,25,17,1.4168297404597128,63
87,0,21,9,13,57,56,-0.8660630836416721,75
28,24,72,16,35,50,80,1.4084137136105679,19
88,54,53,76,39,43,57,1.0176696099002687,30
14,49,52,13,81,35,20,1.2018749421482195,3
56,56,11,85,15,75,99,-0.736179379238202,54
20,36,32,37,72,24,41,0.7630028234261436,21
15,64,6,14,5,74,35,-0.13040761118308344,27
76,17,25,89,17,83,77,0.6025153850257828,80
64,5,64,33,43,85,7,-0.30087769614909654,69
18,89,39,60,80,97,47,-1.494496188061155,5
43,69,33,21,11,20,93,1.185807981799852,90
